Condition	Sex	Age	Location	Measure	Unit	Forecast Scenario	Year	Value	Lower	Upper	Data Suite	DA
Bladder cancer	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	263.016958065976	238.561320083449	288.70241578424	GBD	Oncology
Brain and central nervous system cancer	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	52.0470636828523	45.4047611445176	60.1702508994721	GBD	Oncology
Typhoid and paratyphoid	Both	All Ages	Italy	Prevalence	Rate (per 100,000)	Reference	2034	0.0545897869070022	0.0376077842068546	0.0763557880529175	GBD	Other
Thyroid cancer	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	38.8196702190232	32.0629088429405	46.3454621658216	GBD	Oncology
Mesothelioma	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	2.16813164515597	1.9620987097327	2.38115364505451	GBD	Oncology
Invasive Non-typhoidal Salmonella (iNTS)	Both	All Ages	Italy	Prevalence	Rate (per 100,000)	Reference	2034	0.0141913191677139	0.005044778427532	0.0264652073963721	GBD	Infectious Diseases
Hodgkin lymphoma	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	22.2936687761225	17.7989791982218	27.5104379408612	GBD	Oncology
Headache disorders	Both	All Ages	Italy	Prevalence	Rate (per 100,000)	Reference	2034	46934.0928194929	43563.2701726567	50346.1276700641	GBD	Other
Non-Hodgkin lymphoma	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	155.884862712238	128.385647095734	186.408797527792	GBD	Oncology
Bacterial skin diseases	Both	All Ages	Italy	Prevalence	Rate (per 100,000)	Reference	2034	250.140787071134	221.772438149351	279.248587551767	GBD	Infectious Diseases
Multiple myeloma	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	36.9895768554924	31.2037242939337	43.7670295718345	GBD	Oncology
Blindness and vision loss	Both	All Ages	Italy	Prevalence	Rate (per 100,000)	Reference	2034	17654.825964244	14109.7360216784	22422.5076568435	GBD	Ophthalmology
Leukemia	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	79.4669081112688	69.1614090978387	89.5986160815658	GBD	Oncology
Other malignant neoplasms	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	83.9852097676498	68.2721654337571	100.597327936192	GBD	Other Onco Hem
Upper digestive system diseases	Both	All Ages	Italy	Prevalence	Rate (per 100,000)	Reference	2034	15155.3896030064	13394.8728836919	16987.5686618578	GBD	Other
Other neoplasms	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	705.728207498737	635.082768088163	794.989759443293	GBD	Other Onco Hem
Rheumatic heart disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	128.708646166392	107.453089942976	153.773815269241	GBD	Cardiovascular
Typhoid and paratyphoid	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	0.0104671712096215	0.00694208029075	0.0156231571518822	GBD	Other
Invasive Non-typhoidal Salmonella (iNTS)	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	0.0053256350867517	0.0003353227670308	0.0174589226598821	GBD	Infectious Diseases
Headache disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	45118.8418914997	41417.8969143095	48894.7707282945	GBD	Other
Ischemic heart disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	2998.35984620924	2641.94754075472	3396.16067795447	GBD	Cardiovascular
Bacterial skin diseases	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	425.639575076567	379.876935948924	478.760337527355	GBD	Infectious Diseases
Stroke	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	1742.87262792979	1685.64081053225	1799.98406566459	GBD	Cardiovascular
Blindness and vision loss	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	15558.1474331753	12899.3155327522	19321.5990360351	GBD	Ophthalmology
Hypertensive heart disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	259.442286555917	199.971661742642	318.723310888542	GBD	Cardiovascular
Upper digestive system diseases	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	10191.0466597053	8950.81211230739	11550.226774073	GBD	Other
Cardiomyopathy and myocarditis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	155.56404185013	126.517096100897	189.328551103172	GBD	Cardiovascular
Typhoid and paratyphoid	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	0.0201674625348739	0.0124365822890614	0.0302170002331455	GBD	Other
Atrial fibrillation and flutter	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	2406.65645318802	2124.22675555061	2700.21866676378	GBD	Cardiovascular
Invasive Non-typhoidal Salmonella (iNTS)	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	0.0244165354620239	0.0154436946693062	0.035753857089871	GBD	Infectious Diseases
Headache disorders	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	46244.4624082126	42840.4332862814	49479.0561486075	GBD	Other
Bacterial skin diseases	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	502.776498698639	462.984140088233	542.657284991891	GBD	Infectious Diseases
Blindness and vision loss	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	13441.3588784766	10695.8292116579	17040.3044161012	GBD	Ophthalmology
Peripheral artery disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	3997.69662995423	3366.142757275	4672.18121041917	GBD	Cardiovascular
Endocarditis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	19.4313191698657	16.1723507544547	23.0859259849149	GBD	Cardiovascular
Upper digestive system diseases	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	14561.1878115829	12920.0797190909	16121.1148852715	GBD	Other
Environmental heat and cold exposure	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	280.296130048878	227.149055238298	344.2108494188	GBD	Other
Executions and police conflict	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	1.07511739664404	0.653362124718146	1.69619717711589	GBD	Other
Conflict and terrorism	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2034	430.725603563987	1.13770609895017E-05	2396.00442605712	GBD	Other
Environmental heat and cold exposure	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	281.110691406624	228.135524694042	342.019818819659	GBD	Other
Executions and police conflict	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	1.56157260681383	1.02423264227191	2.39437674208007	GBD	Other
Conflict and terrorism	Both	All Ages	United Kingdom	Prevalence	Rate (per 100,000)	Reference	2034	566.341604838668	4.26716784181851E-05	2926.56504113122	GBD	Other
Tuberculosis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	6481.07943396181	5656.77276387977	7435.45827754369	GBD	Infectious Diseases
HIV/AIDS	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	390.49892644457	345.34363892645	436.546397578582	GBD	Infectious Diseases
Diarrheal diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	818.690741781418	634.31746292378	1050.15748013881	GBD	Other
Lower respiratory infections	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	25.2420882157129	22.445214084422	28.367844238288	GBD	Infectious Diseases
Upper respiratory infections	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2310.17284307876	2082.37754807193	2583.0124015789	GBD	Infectious Diseases
Otitis media	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	606.580001592396	446.384756896094	810.386708822513	GBD	Other
Meningitis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	6.08087404576033	4.46464170336279	8.41050418489638	GBD	Infectious Diseases
Encephalitis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	4.14026804368332	2.82400402075753	5.53931712973089	GBD	Other
Diphtheria	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2.23279455978625E-06	7.1176594182845E-07	4.74677597051685E-06	GBD	Infectious Diseases
Whooping cough	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	3.76361194215717	1.86059457598056	7.23743268966315	GBD	Infectious Diseases
Tetanus	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	0.0002847176904342	5.00962775819939E-05	0.0008091656441678	GBD	Infectious Diseases
Measles	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	0.0537985335445987	0.0484072948414387	0.0600326204288063	GBD	Infectious Diseases
Varicella and herpes zoster	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	91.8993320204115	65.6581678507438	121.298101263259	GBD	Infectious Diseases
Chagas disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2.26658700056214	1.95707743472079	2.60321655853999	GBD	Infectious Diseases
Leishmaniasis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	0.95654946635933	0.631456997665871	1.49241503667231	GBD	Infectious Diseases
Cystic echinococcosis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	0.104802905601767	0.0654632762941222	0.159346684232995	GBD	Infectious Diseases
Rabies	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1.91042298512596E-06	9.90129134383421E-07	3.05723857423452E-06	GBD	Infectious Diseases
Other neglected tropical diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	175.376688225081	150.055388647586	202.835317832372	GBD	Infectious Diseases
Maternal disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	26.7974964784408	13.6939754809715	50.923952564459	GBD	Other
Neonatal disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	938.490283159922	806.386055615907	1190.02689389406	GBD	Other
Protein-energy malnutrition	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2543.5807134623	2070.89264221115	3717.91870982682	GBD	Other
Iodine deficiency	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	789.589068408525	628.79614275788	973.20502770933	GBD	Other
Vitamin A deficiency	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	79.1878473556753	69.5435793836608	91.345532951707	GBD	Other
Dietary iron deficiency	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	3259.61717790043	2865.33122458722	3688.78610956034	GBD	Other
Sexually transmitted infections excluding HIV	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	12298.8139085577	10405.7959724523	14292.2366691373	GBD	Infectious Diseases
Acute hepatitis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	96.7466371987945	89.2794833701246	104.063419878351	GBD	Metabolism
Other unspecified infectious diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	192.106994937893	167.759208071684	217.187423673147	GBD	Infectious Diseases
Esophageal cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	29.4259618252811	26.0920195516686	32.968815351391	GBD	Oncology
Stomach cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	34.5883395099837	29.6249812240448	39.3636454644196	GBD	Oncology
Liver cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	25.7777038724557	22.1909288127615	29.3876027683662	GBD	Oncology
Larynx cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	63.2464419217298	55.5762491240624	71.1307781226847	GBD	Oncology
Tracheal, bronchus, and lung cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	182.528761468424	160.066003414544	205.622764552384	GBD	Oncology
Breast cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1132.51417718642	1031.65240016594	1216.58901449418	GBD	Oncology
Cervical cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	29.852369304166	25.819847359156	34.2972834046799	GBD	Oncology
Uterine cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	159.515993605988	136.479272228956	182.610591699318	GBD	Oncology
Prostate cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1046.65341236129	863.637984021643	1220.15142313541	GBD	Oncology
Colon and rectum cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	661.183511323615	565.369792676528	763.048208318424	GBD	Oncology
Lip and oral cavity cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	80.3997145457807	70.7393772679799	89.2089075828383	GBD	Oncology
Nasopharynx cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	6.69445964157148	5.06478342839541	8.82695419395271	GBD	Oncology
Other pharynx cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	37.8152755778113	31.9795589159413	44.0873835930477	GBD	Oncology
Gallbladder and biliary tract cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	5.87411344888964	4.87102055013189	6.68811464629276	GBD	Oncology
Pancreatic cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	32.4205993631422	27.8290899915349	37.401796508599	GBD	Oncology
Malignant skin melanoma	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	191.448950017525	174.185549162314	211.199639445231	GBD	Oncology
Non-melanoma skin cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	36.2907948512004	29.7343986091502	43.3803416482485	GBD	Other Onco Hem
Ovarian cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	38.9454850008772	33.6043377196986	44.1458589220524	GBD	Oncology
Testicular cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	45.7235712704094	38.061529584854	54.6603393262387	GBD	Oncology
Kidney cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	149.730989283909	130.79961509142	171.029982656233	GBD	Oncology
Bladder cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	183.914338553586	161.883600849272	207.088909791664	GBD	Oncology
Brain and central nervous system cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	45.2546354182214	37.7919018224424	55.1266364027154	GBD	Oncology
Thyroid cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	94.4538742676929	76.3033741931524	112.698152348493	GBD	Oncology
Mesothelioma	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	4.94072069467951	4.4451329821321	5.56982193531366	GBD	Oncology
Hodgkin lymphoma	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	18.1786699734145	14.8326523807143	22.4253355578734	GBD	Oncology
Non-Hodgkin lymphoma	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	187.027897730095	156.985862450297	225.324295504672	GBD	Oncology
Multiple myeloma	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	34.2608340473103	28.2392791727904	41.1363903710588	GBD	Oncology
Leukemia	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	94.7122587323509	80.3552531292148	109.779294692762	GBD	Oncology
Other malignant neoplasms	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	83.7328286687514	70.5224304470776	99.6825813163557	GBD	Other Onco Hem
Other neoplasms	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	945.784280626082	777.103473872045	1134.75417021572	GBD	Other Onco Hem
Rheumatic heart disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	83.1145391939862	67.9604313818475	101.522596576223	GBD	Cardiovascular
Ischemic heart disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	4006.39874882718	3543.04271971384	4539.36006516094	GBD	Cardiovascular
Stroke	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1660.2097993949	1609.01299330117	1721.55509664099	GBD	Cardiovascular
Hypertensive heart disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	516.907785348183	369.346572031439	708.780789868481	GBD	Cardiovascular
Cardiomyopathy and myocarditis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	289.373512113008	215.953546497963	380.181216463056	GBD	Cardiovascular
Atrial fibrillation and flutter	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2111.52261393359	1576.24755555844	2783.68513014074	GBD	Cardiovascular
Peripheral artery disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	4278.15983636088	3672.59883283435	5017.14510193028	GBD	Cardiovascular
Endocarditis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	58.2001781867906	45.4280338741528	73.3587789893061	GBD	Cardiovascular
Non-rheumatic valvular heart disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1761.26214996594	1556.74778285404	1977.13207657942	GBD	Cardiovascular
Other cardiovascular and circulatory diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	12008.7519494171	9632.24423479464	14393.4938583325	GBD	Cardiovascular
Chronic obstructive pulmonary disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	5516.4425256982	4764.53800441247	6361.74041787368	GBD	Immunology
Pneumoconiosis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	6.14869614878584	4.74584917131812	7.626529203182	GBD	Other
Asthma	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	4262.95904457161	3553.73765972435	5006.85384432646	GBD	Immunology
Interstitial lung disease and pulmonary sarcoidosis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	97.4496234298413	87.255617177206	108.497089257285	GBD	Immunology
Cirrhosis and other chronic liver diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	14843.6412323325	13568.6758572554	16311.1950177976	GBD	Immunology
Appendicitis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	5.77597451573652	4.20612442521521	7.98027523335803	GBD	Other
Paralytic ileus and intestinal obstruction	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	13.9053886008386	12.8670121528794	14.9626550398096	GBD	Other
Inguinal, femoral, and abdominal hernia	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	152.706043746288	126.636125388951	183.553287596712	GBD	Other
Inflammatory bowel disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	168.837309043046	143.340080970347	201.46322058279	GBD	Immunology
Vascular intestinal disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	10.8420497898768	9.91547000715293	11.7202858543237	GBD	Other
Gallbladder and biliary diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	5953.70005096154	4810.45888284839	7118.4374664754	GBD	Other
Pancreatitis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	48.5438867037488	32.2176528801283	70.2459448402411	GBD	Metabolism
Alzheimer's disease and other dementias	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1847.44588132957	1604.00382476183	2108.12593197718	GBD	Neurology
Parkinson's disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	462.522065421411	348.763737017426	550.371048589581	GBD	Neurology
Idiopathic epilepsy	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	525.04899064749	191.704612296849	832.046586832931	GBD	Neurology
Multiple sclerosis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	119.467622077074	105.652601425388	134.350024759271	GBD	Neurology
Motor neuron disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	18.8387420054774	16.1958581977652	21.9670010629561	GBD	Neurology
Other neurological disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	0.599304417899001	0.389478510895816	0.830611435023072	GBD	Neurology
Schizophrenia	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	298.21190764413	240.685350198753	370.256623469179	GBD	Other
Alcohol use disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2361.37653553425	2018.40279800617	2738.10611897155	GBD	Other
Drug use disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	951.719888432246	840.333043474631	1083.27236946078	GBD	Other
Depressive disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	4741.19014957678	4174.98408693517	5394.007081036	GBD	Other
Bipolar disorder	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	923.740233357484	734.606347430096	1172.00839707316	GBD	Other
Anxiety disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	6618.92074578904	5493.75271713758	7959.62898797932	GBD	Other
Eating disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	330.533921454303	213.858680986529	494.060756966332	GBD	Other
Autism spectrum disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	807.614123640949	669.992980288296	959.976248875578	GBD	Other
Attention-deficit/hyperactivity disorder	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	928.788509142264	678.532953077856	1251.92315287512	GBD	Other
Conduct disorder	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	388.509678304024	283.11887297697	499.99911077378	GBD	Other
Idiopathic developmental intellectual disability	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	284.549035991955	72.8867314091001	517.43527465297	GBD	Other
Other mental disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2077.27100141764	1680.85762365824	2581.72730060366	GBD	Other
Diabetes mellitus	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	7892.55320508625	7225.54748525931	8596.95680772871	GBD	Metabolism
Acute glomerulonephritis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	0.0990317196636875	0.060910786542489	0.146819898713253	GBD	Renal
Chronic kidney disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	10564.7476125213	9585.09679120791	11595.3174934959	GBD	Renal
Urinary diseases and male infertility	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2440.49047948077	1890.27362251686	3053.6308046024	GBD	Fertility
Gynecological diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	20546.0503843238	18405.0241342354	22668.9291700965	GBD	Fertility
Hemoglobinopathies and hemolytic anemias	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	14681.9126585972	13514.8945530321	15930.3171477518	GBD	Other Onco Hem
Endocrine, metabolic, blood, and immune disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	5173.37870622573	4177.04781497507	6229.93550066133	GBD	Metabolism
Rheumatoid arthritis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	413.051871528021	365.305893395073	470.2572085846	GBD	Immunology
Osteoarthritis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	15052.8633559518	13630.6093391423	16557.3937520306	GBD	Other
Low back pain	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	13615.2525861372	11985.4013015151	15121.9376803774	GBD	Other
Neck pain	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	3041.57473855002	2405.03255293894	3775.05141219913	GBD	Other
Gout	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1278.56942123919	1007.57586989779	1634.1176276334	GBD	Other
Other musculoskeletal disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	5006.81072026941	3956.6976745842	6247.84838185418	GBD	Other
Congenital birth defects	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	698.887981402129	643.385417585461	754.835547179795	GBD	Other
Dermatitis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	5140.11013687248	4830.18232413568	5508.94131192431	GBD	Immunology
Psoriasis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1483.13286868056	1428.36530562215	1541.25555703312	GBD	Immunology
Scabies	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	9.79090188313042	8.69430388742104	10.9769136914474	GBD	Infectious Diseases
Fungal skin diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	12457.5996209039	11250.7304448802	13949.9184091139	GBD	Infectious Diseases
Viral skin diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2315.76631056473	2241.34806443051	2395.31904186358	GBD	Infectious Diseases
Acne vulgaris	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	3588.28237473643	3267.8843498899	3977.61992315579	GBD	Other
Alopecia areata	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	255.477602496124	247.256375783648	263.437577360398	GBD	Immunology
Pruritus	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	1012.67038898255	902.286727539137	1128.31109947647	GBD	Other
Urticaria	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	771.669127492601	688.04600527584	859.105849984986	GBD	Immunology
Decubitus ulcer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	4.16612008893208	3.51749307102453	4.94540483594816	GBD	Other
Other skin and subcutaneous diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	12215.9165215753	11291.2257605428	13069.7967647092	GBD	Immunology
Age-related and other hearing loss	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	23293.763595832	22133.779999737	24572.1904436156	GBD	Other
Other sense organ diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	3954.08118539988	3142.14890818279	4966.27529192281	GBD	Other
Oral disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	57000.6164611529	52317.0838088546	61526.3283786376	GBD	Other
Road injuries	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2596.99385128175	2332.38159969226	2880.00707747535	GBD	Other
Other transport injuries	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	426.901958043714	356.189329570953	519.223407995583	GBD	Other
Falls	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	24046.2176681392	21396.814747815	26885.8709420777	GBD	Other
Drowning	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	18.8800306560541	15.9394188690489	21.4548050893004	GBD	Other
Fire, heat, and hot substances	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2967.76413241623	2452.26833381359	3584.85722233665	GBD	Other
Poisonings	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	128.17327210207	106.965216645812	154.338303661208	GBD	Other
Exposure to mechanical forces	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	6002.75723760075	5139.56057443842	6948.25172954387	GBD	Other
Adverse effects of medical treatment	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	17.1245741768207	12.9005695816917	22.0458216520763	GBD	Other
Animal contact	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	367.225121593662	304.763507001203	444.88187097241	GBD	Other
Foreign body	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	515.00624952761	431.401864761703	609.908795845184	GBD	Other
Other unintentional injuries	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	2465.40413530396	2097.42150320048	2930.59769901333	GBD	Other
Self-harm	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2035	240.151908983027	202.39270391659	277.131976608903	GBD	Other
